category,name,rating,originalRating,reviewTitle,reviewContent,likeCount,upVotes
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Putra A.,5,,null,null,0,0
beli-harddisk-eksternal,Lie M.,5,,null,null,0,0
beli-harddisk-eksternal,Tumpal S.,5,,null,null,0,0
beli-harddisk-eksternal,Aldino W.,5,,null,null,0,0
beli-harddisk-eksternal,anggi A.,5,,null,null,0,0
beli-harddisk-eksternal,Ahmad F.,5,,null,null,0,0
beli-harddisk-eksternal,Nama P.,5,,null,null,0,0
beli-harddisk-eksternal,Pupung A.,5,,null,bagus ori!,0,0
beli-harddisk-eksternal,Bambang G.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,ardi R.,5,,null,null,0,0
beli-harddisk-eksternal,THE N.,5,,null,null,0,0
beli-harddisk-eksternal,selvi H.,5,,null,null,0,0
beli-harddisk-eksternal,Siti S.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Desy C.,5,,null,null,0,0
beli-harddisk-eksternal,Saleh H.,5,,null,null,0,0
beli-harddisk-eksternal,Novan A.,5,,null,null,0,0
beli-harddisk-eksternal,Aobhie H.,5,,null,real good,0,0
beli-harddisk-eksternal,Dwi P.,5,,null,null,0,0
beli-harddisk-eksternal,Kejar K.,3,,null,null,0,0
beli-harddisk-eksternal,Yulianto A.,3,,null,null,0,0
beli-harddisk-eksternal,Satria F.,5,,null,null,0,0
beli-harddisk-eksternal,*i. P.,5,,null,null,0,0
beli-harddisk-eksternal,Ketut W.,5,,null,bagus,0,0
beli-harddisk-eksternal,Maswa A.,5,,null,null,0,0
beli-harddisk-eksternal,abdul M.,5,,null,good,0,0
beli-harddisk-eksternal,muhamad N.,5,,null,null,0,0
beli-harddisk-eksternal,sri H.,5,,null,null,0,0
beli-harddisk-eksternal,Jesa J.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Sriyana,3,,null,null,0,0
beli-harddisk-eksternal,Leonard P.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,bondan I.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,2,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,2,,null,"pengiriman sangat lama, tgl 19 di pesan, tgl 22 barang baru dikemas, tgl 23 baru diambil ekspedisi, tgl 25 baru sampai. Masih dijabotabek tapi lama.",0,0
beli-harddisk-eksternal,hadiyanto,1,,"barang pecah dikirim, payah ni seller","barang tanpa kemasan, tanpa pelindung apapun, hanya dus tv saja, liat dusnya sobek dikit sudah mulai curiga, kayaknya pecah ini, eeeeellllaaaa pas dibuka pecah beneran, BAD SELLER, BENER BENER BAD SELLER MAU UNTUNG AJA, tanpa peduli keadaan produk , kalo gak ada untung n pelit pakingan ya jgn jualan ....barang sudah retur , mudah mudahan barangnya cepat di kirim lg d",27,27
beli-harddisk-eksternal,Fajar H.,4,,Brng Utuh diterima,"Barang diterima pada hari akhir yg dijadwalkan, yaitu malam hari. Kondisi barang terlindungi dengan packing bawaan unit.  Kualitas unit adalah kualitas Sharp. Semoga awet. Bila unit ini dikirim dari gudang Lazada di Bogor, mestinya bisa lebih cpt tiba, bukan pada hari akhir yg dijadwalkan karena alamat tujuan juga di Bogor.",4,4
beli-harddisk-eksternal,aryanto,4,,sesuai pesanan,masukan saja.. klo bisa packingnya jangan asal.. dikasih buble wrap minimal.. ini cuma dipacking pakai plastik biasa.. sempet khawatir pecah.. tpi untung gk terjadi . ..,0,0
beli-harddisk-eksternal,Heri S.,5,,null,null,0,0
beli-harddisk-eksternal,Abdul A.,4,,,pesanan sesuai dgn yg di gambar .....skrg sy lg coba smoga awet...,2,2
beli-harddisk-eksternal,Edi S.,2,,Pengiriman,Pengiriman tidak sesuai tanggal yang tertera,18,18
beli-harddisk-eksternal,Lazada Customer,5,,null,sesuai... no tipu2,1,1
beli-harddisk-eksternal,Pohin,5,,null,barang ok packing rapih,0,0
beli-harddisk-eksternal,Nilam R.,5,,null,"Barangnya sampai dengan cepat, bagus, terimakasih lazada.",0,0
beli-harddisk-eksternal,Pohin,5,,tv murah,"pengiriman cepat packirng rapih harga murah, free ongkir",0,0
beli-harddisk-eksternal,ming F.,5,,mantapp,mantapp barang nya sesuai pesanan,0,0
beli-harddisk-eksternal,kiky p.,1,,Parah,Jangan pernah beli disini..parah banget..barang belum sampe udh 2 mi ggu alesan nya gak jelas gangguan dll..,27,27
beli-harddisk-eksternal,Muhammad A.,1,,"pengiriman lama pisan,  katanya dr kurir, pengirimannya ga pake exspres",hati hati ini tv ga bisa pake USB,0,0
beli-harddisk-eksternal,Kusnadi,3,,null,null,1,1
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Yan T.,5,,null,null,0,0
beli-harddisk-eksternal,ARIF B.,5,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,5,,null,null,0,0
beli-harddisk-eksternal,Indah P.,5,,null,null,0,0
beli-harddisk-eksternal,tjhong K.,5,,null,null,0,0
beli-harddisk-eksternal,Jovan R.,5,,null,null,0,0
beli-harddisk-eksternal,Harris H.,5,,null,null,0,0
beli-harddisk-eksternal,Lukas P.,5,,null,null,0,0
beli-harddisk-eksternal,Harris H.,5,,null,null,0,0
beli-harddisk-eksternal,Harris H.,5,,null,null,0,0
beli-harddisk-eksternal,Harris H.,5,,null,null,0,0
beli-harddisk-eksternal,lukas P.,5,,null,null,0,0
beli-harddisk-eksternal,lukas P.,5,,null,null,0,0
beli-harddisk-eksternal,Hendry,5,,null,null,0,0
beli-harddisk-eksternal,tjhong K.,5,,null,null,0,0
beli-harddisk-eksternal,Lukas P.,5,,null,puas,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,null,0,0
beli-harddisk-eksternal,Lukas P.,4,,null,null,0,0
beli-harddisk-eksternal,Lukas P.,4,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,puas,0,0
beli-harddisk-eksternal,Jie L.,5,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,null,0,0
beli-harddisk-eksternal,Akasia P.,4,,null,null,0,0
beli-harddisk-eksternal,yoppy H.,5,,null,null,0,0
beli-harddisk-eksternal,ming F.,5,,null,mantap,0,0
beli-harddisk-eksternal,ming F.,4,,null,mantap,0,0
beli-harddisk-eksternal,teno,4,,null,null,0,0
beli-harddisk-eksternal,Salbiah,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,5,,null,null,0,0
beli-harddisk-eksternal,Soleh h.,5,,null,null,0,0
beli-harddisk-eksternal,dede S.,1,,null,null,0,0
beli-harddisk-eksternal,Lazada Guest,3,,yuda,Sangat puas dengan produknya. Terimakasih..,14,14
beli-harddisk-eksternal,Amel F.,5,,null,null,0,0
beli-harddisk-eksternal,Maharaja H.,4,,null,null,0,0
beli-harddisk-eksternal,Risa W.,5,,null,null,0,0
beli-harddisk-eksternal,Fitriyansyah,5,,Pelayanan,"Memuaskan, produk sesuai deskripsi, packing bagus, dan penerimaan produk cepat untuk saya yg berada di jkt",0,0
beli-harddisk-eksternal,Sahrul A.,3,,"Kurang puas..,","Kenapa chargernya tidak lengkap....?? G bisa langsung dipakai buat charger..., kita harus nyari dan beli lagi sambungan buat chargernya.., tolong d bantu",0,0
beli-harddisk-eksternal,Dani,1,,Laptop lenovo,Ini spek ram.nya 2GB atau 4GB,0,0
beli-harddisk-eksternal,Rayndra A.,1,,FLASHDISK BEKAS WKWKWK  :D,"GAN SAYA SARANKAN UNTUK LEBIH BERHATI-HATI DALAM MEMBELI, FLASHDISK YANG DIKIRIM KE SAYA ADALAH FLASHDISK REKONDISI (DAUR ULANG BEKAS).  JANGAN TERTIPU OLEH HARGA. MAS DOSA MAS BOHONG. DI FLASHDISKNYA ADA TULISAN NAMA ""ARYO"" YANG SENGAJA DIHAPUS TP KURANG BERSIH. FILE YANG DIKIRIM KE FLASHDISK JUGA ERROR. MAKAN DUIT HARAM MAS. KENYANG TP GA BERKAH.",0,0
beli-harddisk-eksternal,Satya P.,2,,Sering corrupt,"Barang cepat sampainya. Kualitas FD kurang bagus, file yang di copy sering corrupt.",0,0
beli-harddisk-eksternal,Hendri,1,,null,Palsu,0,0
beli-harddisk-eksternal,Devvy A.,5,,null,null,0,0
beli-harddisk-eksternal,DHEA P.,5,,VERY NICE,VERY GOOD,0,0
beli-harddisk-eksternal,Tjan H.,1,,barang kw,"korup terus klo di copy ke fd,mengecewakan",0,0
beli-harddisk-eksternal,ni P.,5,,null,null,0,0
beli-harddisk-eksternal,Pieter C.,5,,TOP BGT,"hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",0,0
beli-harddisk-eksternal,zara,4,,Barang sudah mendarat dengan selamat,"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",0,0
beli-harddisk-eksternal,Maesaroh,5,,Bagus,"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",0,0
beli-harddisk-eksternal,Uli,5,,bagus,sesuai spek yg saya mau.. jd oke lah,0,0
beli-harddisk-eksternal,bahari,5,,Rekomended,barangnya bagus.  rapi tidak mengecewakan.  akan tetapi bagus kalau ada Bonus pouch nya.  hehhe,1,1
